一	a
一下	aa
可歌可泣	aaav
无可奉告	aacm
一开始	aaez
一天天	aaga
无可奈何	aagn
一天到晚	aahk
亍	aai
一下子	aaiy
一再嘱咐	aajj
无可非议	aaks
形形色色	aarr
无政府主义	aats
干干净净	aatt
无政府状态	aatt
下一步	aavi
下一代	aavn
下一个	aavo
再一次	aavt
下一阶段	aayn
一起	ab
平均工资	abbt
丁二烯	abdu
开工率	abis
平均水平	abka
平均日产量	abks
平均年龄	abmi
平均每年增长	abmm
平均利润	abmv
平均气温	abmv
平均价格	abnf
正规化	abon
歌功颂德	aboo
平均分子量	aboy
无功负荷	abre
平均值	abrn
一元论	abrs
平均数	abru
无土育秧	absm
一元方程	absm
平均主义	abss
平均速度	abwt
一块儿	abxr
副教授	abyd
歼击机	abzf
平均收入	abzo
平静	ac
开玩笑	acbm
更长的	achd
一班人马	acox
正三角形	acra
无理方程	acsm
一班人	acuo
干球温度	acvt
于	ad
无拘无束	adaf
再接再厉	adag
一事无成	adah
刑事责任	adcn
开拓者	adgb
万事大吉	adgb
干扰素	adgc
百折不挠	adgd
可提供	adkn
于是	adkv
一揽子	adky
盂	adlk
万事俱备	adnr
亚热带	adqe
正投影	adqk
刑事犯罪	adql
一投手	adqm
可撤消信用证	advn
于	advv
迂	adw
一技之长	adwc
可控硅	adwg
邘	ady
一把手	adym
万事如意	adzs
形势发展	adzx
开	ae
型	aeb
开封	aebb
开坯	aebg
开工	aebi
开赴	aebi
开来	aebk
下基层	aebx
形声	aebx
刑场	aeby
开动	aebz
开球	aecd
开春	aeco
干	aed
干扰	aedg
开拓	aedg
刑事	aedj
干事	aedj
形势	aedq
刊载	aeeh
开幕	aeek
开花	aeen
干警	aeer
开荒	aees
麉	aeet
开支	aeex
干枯	aefe
干杯	aefg
开枪	aefo
型板	aefp
丁苯橡胶	aefq
干酪	aefr
干校	aefs
顸	aeg
下落不明	aegk
顸	aego
頇	aego
形态	aegs
形式	aehb
开车	aehe
形成	aehv
开战	aeij
型号	aeja
刊号	aeja
开口	aeja
干吗	aejx
刊	aek
干旱	aeka
型	aekb
刊	aekd
刑	aekd
百慕大	aekg
开幕式	aekh
开明	aekq
开幕词	aeks
开业	aeku
开凿	aeku
开水	aekv
一直在	aelg
开罗	aelr
政协委员	aemj
攼	aemo
刊物	aemr
干系	aemz
开花期	aene
天花板	aenf
形体	aenf
雃	aeni
无花果	aenk
万花筒	aenm
开化	aenr
无期徒刑	aeoa
开会	aeob
开饭	aeop
干馏	aeor
开往	aeos
开创	aeoy
形	aep
形	aepd
开采	aepf
开钻	aepi
开销	aepk
开盘	aepl
开镰	aept
开膛	aeqk
干脆	aeqr
形象	aerj
鳱	aerz
鳽	aerz
干部	aesj
开端	aesl
开放	aesm
开设	aesq
百花齐放	aess
开朗	aesx
形变	aesx
刑讯	aesy
武警部队	aesy
开方	aesy
开头	aetg
形状	aetg
干冰	aetk
开门	aetl
干瘪	aetn
干瘦	aetn
干净	aetr
开阔	aetv
开关	aeug
干燥	aeuj
开单	aeuk
覝	aeul
开火	aeuo
干粉	aeuo
烎	aeuo
干粮	aeus
开炉	aeuw
开卷	aeuy
刑法	aevb
开满	aeve
干渠	aevh
干涉	aevi
干涸	aevj
干渴	aevk
干活	aevm
干流	aevs
开	aevv
开学	aevw
迀	aew
开赛	aewe
开启	aewj
开户	aewm
形容	aewo
形迹	aews
开通	aewx
开心	aewz
刊登	aexa
干劲	aexb
开垦	aexb
开展	aexe
开辟	aexj
干群	aexj
干预	aexx
开局	aexy
邢	aey
邗	aey
开张	aeyc
开刀	aeyd
开办	aeyo
开除	aeyo
干线	aezh
开发	aezv
开始	aezz
末	af
一本正经	afaz
平整土地	afbb
干酵母	afbz
严格控制	afdm
末期	afeq
末节	afey
严格要求	affd
无霜期	affe
末梢	affk
可想而知	afgm
一概而论	afgs
一整套	afjg
唜	afjr
末日	afka
严格管理	afmc
末代	afnh
无机化合物	afno
无机化学	afnv
两极分化	afon
膥	afoo
末后	afpa
无机盐	afqb
无机肥料	afqu
末儿	afrd
末	afvv
严格遵守	afww
末尾	afxm
末了	afyv
无	ag
无形	agae
幵	agae
天天	agag
天下	agai
蚕豆	agaj
天平	agau
亚太地区	agbh
天工	agbi
顶替	agbo
天地	agbv
无声	agbx
无耻	agci
无理	agck
无聊	agcr
无毒	agcz
天	agd
严厉打击	agdb
更大的	agdd
一大批	agdd
一大步	agdi
天才	agdm
一大片	agdn
栞	agef
顶芽	ageh
蚕茧	agei
无辜	agej
天真	agel
天花	agen
无期	ageq
郉	agey
亚硝酸盐	agfb
无需	agfg
无赖	agfj
顶板	agfp
无机	agfq
顶棚	agfq
无权	agfx
无极	agfy
副厂长	aggc
无奇不有	aggg
无不	aggi
蝅	aggi
丽而不媚	aggz
天车	aghe
蚕	agi
下不来	agib
蠺	agii
顶点	agij
可不是	agik
蚕蛾	agim
天上	agiv
形而上学	agiv
蚕蛹	agix
再不能	agiz
吞	agj
无味	agjb
吞吐	agjb
天国	agjc
平面图	agjj
吞噬	agjm
平面镜	agjp
平面角	agjr
昋	agk
无非	agkc
天时	agkd
亚硝酸	agkf
天明	agkq
奣	agkq
沗	agkv
天堂	agkw
天赋	agla
无罪	aglk
天山	agll
天内	aglo
顶峰	aglr
无用	aglv
天生	agmc
天鹅	agmh
无知	agmj
蚕种	agmj
无利	agmk
无敌	agmm
天敌	agmm
天鹅	agmr
天气	agmy
无私	agmz
天体	agnf
无偿	agnk
天仙	agnl
顶	ago
天命	agoa
无人	agod
无从	agoo
吞食	agox
正确领导	agoy
无须	agpg
平面几何	agqn
无	agr
正确地	agrb
正确处理	agrc
天然	agrg
无名	agrj
天象	agrj
顶角	agrl
无疑	agrm
无比	agrr
正确性	agru
顶多	agrv
天色	agry
无色	agry
鴌	agrz
亚硫酸	agsf
无误	agsj
顶部	agsj
无意	agsk
无谓	agsk
顶端	agsl
正确方向	agsn
无论	agso
无效	agso
天文	agso
正确认识	agss
形态学	agsv
天麻	agtf
顶头	agtg
无底	agtr
忝	agu
无情	aguc
吞并	ague
无关	agug
天性	agum
无性	agum
无益	aguo
无数	aguz
无法	agvb
天涯	agvg
吞没	agvv
天津	agvx
无梁	agvy
迗	agw
天空	agwb
无害	agwc
天宫	agwj
无视	agwl
正在进行	agwo
无边	agwy
无穷	agwy
天边	agwy
