一	a
一下	aa
万无一失	aaam
可歌可泣	aaav
天下无难事	aaax
百无聊赖	aacf
无可奉告	aacm
无可挽回	aadj
殊死搏斗	aadt
平型关	aaeu
一开始	aaez
可可西里山	aafk
百无禁忌	aafy
一天天	aaga
无可厚非	aagk
平顶山	aagl
无可奈何	aagn
无恶不作	aagn
一天到晚	aahk
亍	aai
天下事	aaid
副政委	aaim
一下子	aaiy
一再嘱咐	aajj
死于非命	aako
一无是处	aakr
无可非议	aaks
无可置疑	aalr
无副作用	aanl
一百分	aano
无与伦比	aanr
一百米	aanu
一无所获	aape
一无所有	aapg
一无所知	aapm
无可比拟	aard
形形色色	aarr
无可争辩	aars
无可辩驳	aasx
无形资产	aats
无政府主义	aats
干干净净	aatt
无政府状态	aatt
万平米	aauu
万万没有想到	aavg
下一步	aavi
下一代	aavn
下一个	aavo
再一次	aavt
万丈深渊	aavv
百万富翁	aawo
万恶之源	aawv
开天辟地	aaxb
下一阶段	aayn
一起	ab
无动于衷	abas
平均增长速度	abbc
平均工资	abbt
天塌地陷	abby
平均寿命	abco
平均指标	abdf
丁二烯	abdu
一二级	abdz
无巧不成书	abgh
一去不复返	abgm
开工率	abis
吞云吐雾	abjf
平均水平	abka
平均日产量	abks
一夫当关	abku
开工典礼	ablw
与去年相比	abmf
与去年同期相比	abml
平均每年增长	abmm
平均利润	abmv
平均气温	abmv
一鼓作气	abnm
无地自容	abnw
正规化	abon
歌功颂德	aboo
无功受禄	abpw
无功负荷	abre
平均值	abrn
一元论	abrs
平均数	abru
一专多能	abrz
一元方程	absm
无土育秧	absm
平均主义	abss
一塌糊涂	abuv
画地为牢	abuw
死去活来	abvb
平均速度	abwt
一块儿	abxr
副教授	abyd
歼击机	abzf
万元以上	abzi
平均收入	abzo
平静	ac
可耻下场	acab
天王星	acam
无毒副作用	acan
开玩笑	acbm
天长地久	acbr
副理事长	acdc
万寿山	acdl
天理不容	acgw
更长的	achd
正三角形	acra
列表框	acrf
无理方程	acsm
一班人	acuo
干球温度	acvt
于	ad
无拘无束	adaf
再接再厉	adag
一事无成	adah
万事开头难	adat
可持续	adbz
刑事责任	adcn
亚的斯亚贝巴	adea
下拉菜单	adeu
开拓者	adgb
万事大吉	adgb
干扰素	adgc
百折不挠	adgd
百挑不厌	adgg
一拥而上	adgi
一挥而就	adgs
可提供	adkn
于是	adkv
一揽子	adky
盂	adl
盂	adlk
盂县	adlz
无事生非	admk
万事俱备	adnr
开拓创新	ados
可拆卸	adpm
亚热带	adqe
正投影	adqk
刑事犯罪	adql
一投手	adqm
一捅就破	adsg
无的放矢	adsm
刑事诉讼法	adss
可撤消	adsv
开拓精神	aduw
可撤消信用证	advn
于	advv
迂	adw
一技之长	adwc
可控硅	adwg
一拍即合	adxo
邘	ady
一把手	adym
可持续化	adzn
万事如意	adzs
形势发展	adzx
可持续发展	adzz
可持续发展战略	adzz
开	ae
天真无邪	aeah
干裂	aear
与世无争	aear
型	aeb
开封	aebb
瓦莱塔	aebb
开城	aebh
开工	aebi
开赴	aebi
开来	aebk
开埠	aebm
天南地北	aebt
下基层	aebx
形声	aebx
刑场	aeby
开动	aebz
万古长青	aecc
开球	aecd
与世长辞	aecm
开春	aeco
干	aed
副董事长	aedc
干扰	aedg
开拓	aedg
刑事	aedj
干事	aedj
形势	aedq
开据	aedx
刊载	aeeh
开幕	aeek
开花	aeen
刑期	aeeq
干警	aeer
开荒	aees
麉	aeet
开支	aeex
开票	aefb
干枯	aefe
开禁	aeff
干杯	aefg
开枪	aefo
型板	aefp
开机	aefq
干酪	aefr
干校	aefs
顸	aeg
下落不明	aegk
开原	aegn
顸	aego
頇	aego
形态	aegs
形码	aegx
百花盛开	aeha
形式	aehb
开车	aehe
形成	aehv
武警战士	aeib
开战	aeij
型号	aeja
刊号	aeja
开口	aeja
死胡同	aejl
开路	aejr
干咳	aejs
干吗	aejx
刊	aek
干旱	aeka
型	aekb
刊	aekd
刑	aekd
干果	aekf
百慕大	aekg
开幕式	aekh
开敞	aekl
开幕辞	aekm
开明	aekq
开幕词	aeks
开业	aeku
开凿	aeku
开水	aekv
一直在	aelg
开具	aelo
开罗	aelr
刑罚	aels
开幕典礼	aelw
开县	aelz
一落千丈	aema
政协委员	aemj
豆蔻年华	aemn
攼	aemo
刊物	aemr
天花乱坠	aemy
干系	aemz
开花期	aene
形体	aenf
天花板	aenf
雃	aeni
无花果	aenk
万花筒	aenm
开价	aeno
开化	aenr
百花奖	aent
天花粉	aenu
无期徒刑	aeoa
开会	aeob
政协全国委员会	aeoj
开饭	aeop
干馏	aeor
开往	aeos
刑律	aeox
开创	aeoy
形	aep
形	aepd
开采	aepf
开钻	aepi
开销	aepk
开盘	aepl
型钢	aepl
开镰	aept
干脆	aeqr
开脱	aequ
百花争艳	aerc
形象	aerj
鳱	aerz
鳽	aerz
列支敦士登	aesb
干部	aesj
开课	aesk
开端	aesl
开放	aesm
开设	aesq
百花齐放	aess
形旁	aesu
一劳永逸	aesw
开朗	aesx
形变	aesx
刑讯	aesy
武警部队	aesy
开方	aesy
形状	aetg
开头	aetg
干冰	aetk
开门	aetl
干瘦	aetn
干瘪	aetn
干净	aetr
开阔	aetv
开庭	aety
开关	aeug
干烧	aeuh
干燥	aeuj
开单	aeuk
覝	aeul
开火	aeuo
干粉	aeuo
烎	aeuo
开炮	aeur
干粮	aeus
天真烂漫	aeuv
开炉	aeuw
开卷	aeuy
刑法	aevb
开满	aeve
万古流芳	aeve
开源	aevg
干渠	aevh
干涉	aevi
干涸	aevj
干渴	aevk
干活	aevm
干流	aevs
天南海北	aevt
开	aevv
天真活泼	aevv
开学	aevw
迀	aew
开窍	aewb
开远	aewb
开赛	aewe
开启	aewj
开户	aewm
哥斯达黎加	aewm
形容	aewo
形迹	aews
开道	aewu
开通	aewx
开心	aewz
刊登	aexa
干劲	aexb
开垦	aexb
开展	aexe
开辟	aexj
干群	aexj
干预	aexx
开局	aexy
邢	aey
邗	aey
开张	aeyc
开刀	aeyd
开导	aeyd
哥萨克	aeye
开阳	aeyk
开办	aeyo
开除	aeyo
与世隔绝	aeyz
干线	aezh
干练	aezh
开练	aezh
邢台	aezj
开发	aezv
下世纪初	aezw
开始	aezz
末	af
一本万利	afam
一本正经	afaz
平整土地	afbb
瓦杜兹	afbu
干酵母	afbz
严格控制	afdm
夏枯草	afee
末期	afeq
末节	afey
严格要求	affd
无霜期	affe
末梢	affk
可想而知	afgm
一概而论	afgs
哥本哈根	afjf
一整套	afjg
唜	afjr
末日	afka
严格管理	afmc
丙酰胺	afmq
末代	afnh
无机化合物	afno
末位	afns
无机化学	afnv
亚松森	afof
两极分化	afon
膥	afoo
末后	afpa
无机盐	afqb
一枝独秀	afqm
无机肥料	afqu
末端	afsl
残酷斗争	aftr
两相情愿	afug
末	afv
正本清源	afvv
末	afvv
无本之木	afwf
无权过问	afwt
严格遵守	afww
末尾	afxm
末了	afyv
无	ag
无牵无挂	agad
无形	agae
幵	agae
天天	agag
天下	agai
蚕豆	agaj
吞灭	agau
天平	agau
无一	agav
天坛	agbb
亚太地区	agbh
顶替	agbo
天地	agbv
无声	agbx
吞声	agbx
天王	agca
无耻	agci
天职	agcj
无理	agck
无聊	agcr
顶班	agcu
无瑕	agcx
两面三刀	agcy
无毒	agcz
天	agd
严厉打击	agdb
一大批	agdd
一大步	agdi
顶事	agdj
天才	agdm
无托	agdm
一大片	agdn
天热	agdq
顶撞	agds
栞	agef
顶芽	ageh
蚕茧	agei
无辜	agej
天真	agel
天花	agen
无期	ageq
郉	agey
亚硝酸盐	agfb
无需	agfg
无赖	agfj
天桥	agfm
顶板	agfp
无机	agfq
顶格	agfr
无核	agfs
顶楼	agfu
无权	agfx
无极	agfy
副厂长	aggc
无奇不有	aggg
无不	aggi
蝅	aggi
天有不测风云	aggv
丽而不媚	aggz
更确切地说	aghb
天车	aghe
天堑	aghp
正确轨道	aghw
蚕	agi
下不来	agib
蠺	agii
顶点	agij
可不是	agik
画龙点睛	agil
蚕蛾	agim
顶不住	agin
天上	agiv
形而上学	agiv
蚕蛹	agix
再不能	agiz
吞	agj
吞吐	agjb
无味	agjb
天国	agjc
顶嘴	agji
