一	a
一下	aa
可歌可泣	aaav
天下一家	aaaw
天干地支	aabe
百武彗星	aack
天下蒼生	aaem
一干人	aaeo
死刑犯	aaeq
一頭霧水	aafk
天下本無事	aafm
一天天	aaga
天下太平	aaga
天下大亂	aagp
一再堅持	aahd
一天到晚	aahk
亍	aai
吞下去	aaib
一丁點	aail
兩下子	aaiy
一下子	aaiy
頂頭上司	aaiy
一頭熱	aajb
兩頭蛇	aaji
吞吞吐吐	aajj
正正當當	aakk
頭頭是道	aakw
天下無難事，衹怕有心人	aame
天下無不散的筵席	aamg
平平穩穩	aamm
天下無雙	aamn
天下無敵	aams
一百萬	aane
一百年	aanm
一百個	aann
天下興亡匹夫有責	aans
一干人犯	aaoq
天下父母心	aaoz
一妻多夫	aarb
天下烏鴉一般黑	aarh
殊死戰	aarj
形形色色	aarr
頂天立地	aasb
天可憐見	aaul
天下為公	aauo
天平座	aaut
天下沒有不散的筵席	aavg
天下沒有白吃的午餐	aavg
下一步	aavi
頭一回	aavj
下一輩	aavk
下一個	aavn
下一代	aavn
𠄟	aavv
平平安安	aaww
一死了之	aayw
一起	ab
一夫一妻	abaa
平地一聲雷	abab
一五一十	abae
平起平坐	abao
武士道	abaw
可攻可守	abaw
可喜可賀	abay
平均地權	abbf
一場春夢	abce
一二三	abdc
丁二烯	abdu
政工幹校	abef
天地萬物	abem
一去不回	abgj
一去不返	abgw
天地不容	abgw
一聲不響	abgz
頭城鄉	abhz
下工夫	abib
死工夫	abib
一夫當關萬夫莫敵	abkx
一夫當關，萬夫莫敵	abkx
歌臺舞榭	abmf
天地無私	abmm
一塊塊	abnb
一鼓作氣	abnm
一塊兒	abnn
一聲令下	aboa
政教合一	aboa
副熱帶	aboe
死規矩	abom
歌功頌德	aboo
正規軍	abow
一元復始	aboz
丈二金剛	abpl
平地風波	abqv
一夫多妻	abra
百老匯	abrh
平均數	abrk
平均值	abrn
天老爺	abro
一元論	abrs
一元方程式	absm
天地良心	absw
一塌糊塗	abuv
死去活來	abvf
天地間	abvx
天地神靈	abwf
天壤之別	abwj
兩者之間	abwx
下坡路	abxj
百壽圖	abxj
形聲字	abxw
下功夫	abyb
副教授	abyd
吞聲忍氣	abym
一走了之	abyw
平靜	ac
天王星	acak
天長地久	acbr
天琴座	acct
兩三下	acda
下三濫	acdv
一鬨而散	acge
百毒不侵	acgn
天理不容	acgw
天王巨星	achk
天理教	ackb
一馬當先	ackm
死馬當作活馬醫	ackn
天長日久	ackr
天理昭彰	acks
死馬當活馬醫	ackv
一髮千鈞	acmp
天理循環	acoc
一表人才	acod
天馬行空	acow
正三角形	acra
列表機	acrf
天理良心	acsw
副班長	acuc
末班車	acuf
下馬威	acuh
兩鬢飛霜	acyf
下毒手	aczm
于	ad
干擾素	adac
再接再厲	adag
天搖地動	adbm
天打雷劈	adfx
百折不撓	adgd
一擁而上	adgi
百折不回	adgj
一掃而光	adgk
一技在身	adgn
一揮而就	adgs
一掃而空	adgw
刑事犯	adjq
于是	adkv
于思	adkw
一寸光陰一寸金	adky
盂	adl
盂	adlk
一事無成	admh
㪀	admo
一擲千金	admp
于歸	admy
𨾌	adni
天才兒童	adns
刑事訴訟	adss
刑事訴訟法	adss
一招半式	aduh
死拉活拽	advd
于	advv
迂	adw
一技之長	adwc
刑事案件	adwn
一探究竟	adws
一拍即合	adxo
兩把刷子	adxy
邘	ady
一把抓	adyd
𠃗	adyd
一把罩	adyl
百摺裙	adyw
形	ae
𢏘	aeae
𪚟	aeae
一草一木	aeaf
干政	aeai
形下	aeai
刊頭	aeaj
𧷩	aeal
一朝一夕	aear
一朝天子一朝臣	aeay
型	aeb
天荒地老	aebb
干城	aebh
刑場	aebk
頭蓋骨	aebl
𪪁	aebn
形勢	aebo
頭蓋腔	aebq
天南地北	aebt
䵤	aebu
一乾二淨	aebv
形聲	aebx
𪫊	aecb
刑責	aecl
干	aed
干擾	aeda
干撓	aedb
刑事	aedj
刑求	aedv
干求	aedv
𤮻	aeeb
刊載	aeef
刑期	aeeq
刑警	aeer
𪂍	aeer
䶬	aees
麉	aeet
百葉窗	aeew
干支	aeex
𨴚	aeex
𢻗	aeex
𢏗	aeey
刊本	aefa
𩔛	aefg
𢆚	aefj
形相	aefl
𪄃	aefr
顸	aeg
形碼	aegc
刊布	aegl
哥斯大黎加	aegm
頇	aego
顸	aego
𧰪	aegq
歿世不忘	aegs
刊在	aegv
一直到死	aeha
形式	aehb
型式	aehb
豆芽菜	aehe
干戈	aehm
天藍色	aehr
形成	aehv
𩒞	aeig
𢤏	aeiw
型號	aeja
殉難者	aejb
瓦斯中毒	aejc
死胡同	aejl
形蹤	aejo
形跡	aejs
型別	aejy
𨚆	aejy
刊	aek
型	aekb
刑	aekd
刊	aekd
一幕幕	aeke
一萬萬	aeke
一萬年	aekm
形影	aeks
百慕達	aekw
形同	aeld
𧦸	aeld
殘花敗柳	aelf
形體	aelk
㿻	aelk
㿼	aelk
刑具	aelo
干貝	aelo
䙹	aelr
刑罰	aels
形骸	aels
一落千丈	aema
豆蔻年華	aeme
天真無邪	aemh
一葉知秋	aemm
正直無私	aemm
攼	aemo
刊物	aemr
天乾物燥	aemu
干與	aena
干休	aenf
天花板	aenf
𩔓	aeng
雃	aeni
䧲	aeni
干係	aenm
形像	aenr
𥀈	aenx
形似	aenz
刊行	aeoi
盂蘭盆會	aeoo
𦦕	aeoo
𡂤	aeoz
形	aep
𡌑	aepb
形	aepd
𣂖	aepd
瓦斯車	aepf
𫌟	aepl
瓦斯筒	aepm
形貌	aepn
形質	aepp
瓦斯爐	aepu
天花亂墜	aepy
瓦斯彈	aepy
干犯	aeqy
刊印	aera
形象	aerj
㰢	aero
形色	aery
刑警隊	aery
鳱	aerz
鳽	aerz
𫛚	aerz
𪚒	aesi
刊誤	aesj
刑部	aesj
百花齊放	aess
刑訊	aesy
𥪵	aesz
刑庭	aety
覝	aeul
烎	aeuo
㶣	aeuo
天真爛漫	aeuv
刑法	aevb
干涉	aevi
天真浪漫	aevv
开	aevv
迀	aew
干連	aewf
一世之雄	aewg
形容	aewo
百萬富翁	aewo
刑案	aewz
干祿	aewz
刊登	aexa
𤿊	aexi
𤿐	aexi
𦦘	aexi
盂蘭盆	aexo
干預	aexx
可蘭經	aexz
邢	aey
邗	aey
㼛	aeys
䍾	aeyy
